RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,StateCode,TaxType,Zone,TaxDist,Legal,Acreage,GPIN
8765,40B019000,2216,WAYNE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 9 BK E SEC 3 THE MEADOWS,0.514,897
8766,40B020000,2214,WAYNE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 8 BK E SEC 3 THE MEADOWS,0.562,887
8767,40B021000,2212,WAYNE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 7 BK E SEC 3 THE MEADOWS,0.358,866
8768,40B022000,2210,WAYNE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 6 BK E SEC 3 THE MEADOWS,0.32,848
8769,40B023000,2208,WAYNE AVE,,3.0 Multi-Family,Taxable,R-1,,LOT 5 BK E SEC 3 THE MEADOWS,0.316,822
8770,40B024000,2206,WAYNE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 4 BK E SEC 3 THE MEADOWS,0.288,799
8771,40B025000,2204,WAYNE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 3 BK E SEC 3 THE MEADOWS,0.333,783
8772,40B026000,2205,WAYNE AVE,,3.0 Multi-Family,Taxable,R-1,,LOT 3 BK F SEC 3 THE MEADOWS,0.42,744
8773,40B027000,2207,WAYNE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 4 BK F SEC 3 THE MEADOWS,0.433,765
8774,40B028000,2209,WAYNE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 5 BK F SEC 3 THE MEADOWS,0.393,792
8775,40B029000,2211,WAYNE AVE,,3.0 Multi-Family,Taxable,R-1,,LOT 6 BK F SEC 3 THE MEADOWS,0.2,813
8776,40B030000,2213,WAYNE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 7 BK F SEC 3 THE MEADOWS,0.488,841
8777,40B031000,2219,WAYNE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 8 BK F SEC 3 THE MEADOWS,0.397,840
8778,40B032000,1601,CEDAR HILL RD,,3.0 Multi-Family,Taxable,R-1,,LOT 9 BK F SEC 3 THE MEADOWS,0.401,825
8779,40B033000,1603,CEDAR HILL RD,,3.0 Multi-Family,Taxable,R-1,,LOT 10 BK F SEC 3 THE MEADOWS,0.469,801
8780,40B034000,1605,CEDAR HILL RD,,3.0 Multi-Family,Taxable,R-1,,LOT 11 BK F SEC 3 THE MEADOWS,0.402,782
8781,40B035000,1607,CEDAR HILL RD,,3.0 Multi-Family,Taxable,R-1,,LOT 12 BK F SEC 3 THE MEADOWS,0.406,762
8782,40B036000,1609,CEDAR HILL RD,,1.0 Residential (Urban),Taxable,R-1,,LOT 13 BK F SEC 3 THE MEADOWS,0.411,738
8783,40B037000,1611,CEDAR HILL RD,,3.0 Multi-Family,Taxable,R-1,,LOT 14 BK F SEC 3 THE MEADOWS,0.413,723
8784,40B038000,2301,DELLMEAD LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 1 BK H SEC 3 THE MEADOWS,0.36,734
8785,40B039000,1604,CEDAR HILL RD,,1.0 Residential (Urban),Taxable,R-1,,LOT 2 BK H SEC 3 THE MEADOWS,0.411,758
8786,40B040000,1602,CEDAR HILL RD,,1.0 Residential (Urban),Taxable,R-1,01,LOT 3 BK H SEC 3 THE MEADOWS,0.32,778
8787,40B041000,1600,CEDAR HILL RD,,1.0 Residential (Urban),Taxable,R-1,,LOT 4 BK H SEC 3 THE MEADOWS,0.457,797
8788,40B042000,2305,WAYNE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 5 BK H SEC 3 THE MEADOWS,0.478,768
8789,40B043000,2307,WAYNE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 6 BK H SEC 3 THE MEADOWS,0.564,753
8790,40B044000,2309,WAYNE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 7 BK H SEC 3 THE MEADOWS,0.489,736
8791,40B045000,2311,WAYNE AVE,,3.0 Multi-Family,Taxable,R-1,,LOT 8 BK H SEC 3 THE MEADOWS,0.457,720
8792,40B046000,1605,RICKY RD,,1.0 Residential (Urban),Taxable,R-1,,LOT 9 BK H SEC 3 THE MEADOWS,0.192,699
8793,40B046100,2313,WAYNE AVE,,1.0 Residential (Urban),Taxable,R-1,,LOT 9A BK H SEC 3 THE MEADOWS,0.186,15061
8794,40B047000,1607,RICKY RD,,1.0 Residential (Urban),Taxable,R-1,,LOT 10 BK H SEC 3 THE MEADOWS,0.382,683
8795,40B048000,1609,RICKY RD,,1.0 Residential (Urban),Taxable,R-1,,LOT 11 BK H SEC 3 THE MEADOWS,0.349,665
8796,40B049000,1611,RICKY RD,,1.0 Residential (Urban),Taxable,R-1,,LOT 12 BK H SEC 3 THE MEADOWS,0.348,652
8797,40B050000,2309,DELLMEAD LN,,1.0 Residential (Urban),Taxable,R-1,,LOT 13 BK H SEC 3 THE MEADOWS,0.488,682
