RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,UseCode,Style,Grade,Roof,Flooring,Heating,Fireplace,YearBuilt,TotalRooms,Bedrooms,HalfBathrooms,FullBathrooms,BasementGarage,Basement,FinishedBasement,BasementType,ExternalWalls,NumberOfStories,SquareFootageFinishedLiving
2239,180015140,2422,SUNSET RD,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1961,6,3,0,2,0,1021,510,Full Basement,Aluminum,1.00,1021
2240,180015150,2424,SUNSET RD,,Single Family-1 Conversion,Split-Foyer,C,Shingles,Hardwood,Forced Air,1,1961,8,4,0,3,0,1067,842,Full Basement,Wood,1.00,1067
2241,180015160,2426,SUNSET RD,,Single Family,Split-Level,C,Shingles,Hardwood,Forced Air,0,1962,7,3,1,2,1,542,486,Full Basement,Wood,2.00,1559
2242,180015170,2428,SUNSET RD,,Single Family-1 Conversion,1 Story,C,Shingles,Hardwood,Forced Air,0,1964,9,6,1,2,0,1111,1055,Full Basement,Wood,1.00,1111
2243,180015180,2430,SUNSET RD,,Single Family,1 Story,C,Shingles,Other,Forced Air,1,1962,7,3,0,2,0,1071,590,Full Basement,Brick Veneer,1.00,1071
2244,180015190,2432,SUNSET RD,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1962,6,3,1,1,0,1053,398,Full Basement,Brick Veneer,1.00,1053
2245,180015200,138,STRIBLING AVE,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1960,6,3,0,1,0,993,497,Full Basement,Brick Veneer,1.00,993
2246,180015201,2427,SUNSET RD,,Single Family,Split-Foyer,C,Shingles,Hardwood,Heat Pump,2,1963,8,4,0,2,0,1110,990,Full Basement,Brick Veneer,1.00,1107
2247,180015210,2425,SUNSET RD,,Single Family,1 Sty w/ Bsmt,C -,Architectural Shingles,Hardwood,Forced Air,1,1961,7,3,1,2,1,624,257,Partial Basement,Vinyl,1.00,1248
2248,180015220,2423,SUNSET RD,,Single Family-1 Conversion,Split-Foyer,C,Shingles,Hardwood,Forced Air,1,1964,8,5,0,2,0,1064,964,Partial Basement,Wood,1.00,1100
2249,180015230,2421,SUNSET RD,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1963,9,4,0,2,0,1122,982,Full Basement,Brick Veneer,1.00,1122
2250,180015240,2419,SUNSET RD,,Single Family-1 Conversion,1 Story,C,Shingles,Hardwood,Forced Air,2,1961,9,5,0,2,0,971,971,Full Basement,Brick Veneer,1.00,971
2251,180015250,2417,SUNSET RD,,Single Family,1 Sty w/ Bsmt,C -,Shingles,Hardwood,Forced Air,1,1961,7,3,0,2,0,1068,632,Full Basement,Brick Veneer,1.00,1075
2252,180015260,2415,SUNSET RD,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1961,6,3,1,1,0,1125,0,Partial Basement,Precast Panel,1.00,1154
2253,180015270,2413,SUNSET RD,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,0,1961,9,3,0,2,0,1063,1063,Full Basement,Brick Veneer,1.00,1063
2254,180015280,2411,SUNSET RD,,Single Family-1 Conversion,1 Story,C,Shingles,Hardwood,Forced Air,1,1961,8,2,0,2,0,1063,950,Full Basement,Brick Veneer,1.00,1063
2255,180015290,2409,SUNSET RD,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1961,5,3,0,1,0,1061,,Full Basement,Brick Veneer,1.00,1061
2256,180015300,134,STRIBLING AVE,,Single Family,1 Story,C,Shingles,Hardwood,Forced Air,1,1960,6,3,0,2,0,1185,0,Full Basement,Aluminum,1.00,1185
