GPIN,PIN_ALL,PIN_Count,Oldest_Structure,Largest_Structure_SqFT,UseCode_All,Max_UseCodeRisk,Source_All
1025,41A001150,1,1986,NA,Single Family,1,Residential
10250,250033000,1,1925,NA,Single Family,1,Residential
10251,210131000,1,1940,NA,Single Family,1,Residential
10252,240186000,1,1978,NA,Single Family Attached,2,Residential
10253,240147000,1,1978,NA,Single Family Attached,2,Residential
10254,250072000,1,2015,NA,Single Family,1,Residential
10255,240112000,1,1962,NA,Apartments 1-10 units,2,Commercial
10256,570131000,1,1972,2876,Apartments 1-10 units,2,Commercial
10257,590222000,1,1893,NA,Single Family,1,Residential
10258,270091400,1,2003,NA,Single Family,1,Residential
10259,210117000,1,1963,NA,Single Family-1 Conversion,1,Residential
1026,41A064000,1,1950,NA,Single Family,1,Residential
10260,570055000,1,1951,NA,Single Family,1,Residential
10261,270091230,1,2004,NA,Single Family,1,Residential
10262,570127000 | 570127000,2,1958,NA,Vacant Land | Vacant Land,0,Residential | Residential
10263,590219000,1,1925,NA,Single Family,1,Residential
10264,240224000,1,1975,NA,Single Family Attached,2,Residential
10265,270049000,1,1947,NA,Single Family,1,Residential
10266,5600442A0 | 5600442A0 | 5600442B0 | 5600442B0 | 5600442C0 | 5600442CL | 5600442D0 | 5600442D0 | 5600442D0 | 5600442E0 | 5600442E0 | 5600442E0 | 5600442F0,13,1987,4199,Office Building | Office Building | Commercial | Commercial | Multiple Commercial Use | Multiple Commercial Use | Commercial | Commercial | Commercial | Office Building | Office Building | Office Building | Office Building,2,Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial | Commercial
10268,560118000,1,1994,NA,Single Family,1,Residential
10269,180017300,1,1981,NA,Single Family-1 Conversion,1,Residential
1027,41A001220,1,1990,NA,Single Family,1,Residential
10270,18A010000,1,1970,NA,Duplex,1,Residential
10271,220142000,1,1952,NA,Single Family,1,Residential
10272,590024000,1,1920,NA,Single Family,1,Residential
10273,240086000,1,1972,NA,Duplex,1,Residential
10274,580222000,1,1946,NA,Single Family-1 Conversion,1,Residential
10275,270051000,1,1946,NA,Single Family,1,Residential
10276,22A019000,1,1975,NA,Single Family,1,Residential
10277,55A139000,1,1925,NA,Single Family,1,Residential
10278,220159100,1,1989,NA,Single Family,1,Residential
10279,250071000,1,1948,NA,Single Family,1,Residential
1028,42A022100,1,1977,NA,Single Family,1,Residential
10280,220161000,1,1920,NA,Single Family,1,Residential
10282,570060000,1,1946,NA,Single Family-1 Conversion,1,Residential
10283,240148000,1,1978,NA,Single Family Attached,2,Residential
10284,560119000,1,2010,NA,Single Family,1,Residential
10285,240087000,1,1969,NA,Duplex,1,Residential
10286,240185000,1,1978,NA,Single Family Attached,2,Residential
10288,270047000,1,1947,NA,Single Family,1,Residential
10289,18A011000,1,1951,NA,Single Family-1 Conversion,1,Residential
1029,43B051000,1,1958,NA,Single Family,1,Residential
10290,22A053000,1,1963,NA,Single Family,1,Residential
10291,220111300,1,1959,NA,Single Family,1,Residential
10292,240067000,1,1965,NA,Single Family,1,Residential
10293,180017000,1,1914,NA,Single Family,1,Residential
10294,240225000,1,1975,NA,Single Family Attached,2,Residential
10295,22A052000,1,1963,NA,Single Family,1,Residential
10296,55A141000,1,1900,NA,Single Family,1,Residential
10297,580210000,1,1900,NA,Single Family-1 Conversion,1,Residential
10298,590223000,1,1895,NA,Single Family,1,Residential
10299,590023000,1,1920,NA,Single Family,1,Residential
103,42C073000,1,1971,NA,Single Family,1,Residential
1030,43B001000,1,1959,NA,Single Family,1,Residential
10300,22A051000,1,1963,NA,Single Family-1 Conversion,1,Residential
10301,250037000,1,1973,1952,Apartments 1-10 units,2,Commercial
10302,18A012000,1,1971,NA,Duplex,1,Residential
10303,590017000,1,1952,NA,Single Family-3 Conversion,2,Residential
10304,270091220,1,2004,NA,Single Family,1,Residential
10306,580221000,1,1924,NA,Single Family,1,Residential
10307,180015400,1,1967,NA,Duplex,1,Residential
10308,250070000,1,1954,NA,Single Family,1,Residential
10309,240075000,1,1968,NA,Single Family,1,Residential
1031,43B011000,1,1960,NA,Single Family,1,Residential
10310,220143000,1,1952,NA,Single Family,1,Residential
10311,250032000,1,NA,NA,Vacant Land,0,Residential
10312,22A032000,1,1963,NA,Single Family-1 Conversion,1,Residential
10313,570127100,1,NA,NA,Vacant Land,0,Residential
10314,570111000,1,1894,NA,Single Family,1,Residential
10315,250080000,1,1955,NA,Single Family,1,Residential
10316,570061000,1,1991,NA,Single Family,1,Residential
10317,590218000,1,1875,NA,Single Family,1,Residential
10318,570130000,1,1925,NA,Single Family,1,Residential
10319,570126000,1,1925,NA,Single Family,1,Residential
1032,41A001160,1,1986,NA,Single Family,1,Residential
10320,240100000,1,1966,NA,Single Family,1,Residential
10321,180026000,1,1920,NA,Single Family-1 Conversion,1,Residential
10322,270091500,1,2003,NA,Single Family,1,Residential
10323,55A138000,1,1968,NA,Single Family,1,Residential
10324,250084000,1,1925,NA,Single Family,1,Residential
10325,570065000 | 570065000 | 570065000 | 570065000,4,1930,36789,Elementary Sch (Entire) | Elementary Sch (Entire) | Elementary Sch (Entire) | Elementary Sch (Entire),2,Commercial | Commercial | Commercial | Commercial
10326,240184000,1,1978,NA,Single Family Attached,2,Residential
10327,240149000,1,1978,NA,Single Family Attached,2,Residential
10328,210083000,1,1940,NA,Single Family,1,Residential
10329,250028100,1,1964,NA,Single Family,1,Residential
1033,42A041000,1,1945,NA,Single Family,1,Residential
10330,210131100,1,1996,NA,Single Family,1,Residential
10331,270052000,1,1946,NA,Single Family,1,Residential
10332,590022000,1,1930,NA,Single Family,1,Residential
10333,580211000,1,1941,NA,Single Family,1,Residential
10334,580220000,1,NA,NA,Parking Lot,0,Residential
10335,220111400,1,1959,NA,Single Family,1,Residential
10336,240226000,1,1975,NA,Single Family Attached,2,Residential
10337,240068000,1,1963,NA,Single Family,1,Residential
10338,270054000,1,1946,NA,Single Family,1,Residential
10339,250031000,1,1945,NA,Single Family,1,Residential
1034,42A034000,1,1958,NA,Single Family,1,Residential
10340,590028000,1,NA,NA,Vacant Land,0,Residential
10341,270038100,1,1962,NA,Single Family,1,Residential
10342,18A013000,1,1963,NA,Single Family,1,Residential
10343,570115000 | 570115000 | 570115000,3,1931,26650,Industrial Light Manufacturing | Industrial Light Manufacturing | Industrial Light Manufacturing,1,Commercial | Commercial | Commercial
10344,180015300,1,1960,NA,Single Family,1,Residential
10345,220158000,1,1941,NA,Single Family,1,Residential
10346,590224000,1,1890,NA,Single Family,1,Residential
10347,570062000 | 570062000,2,1925,NA,Vacant Land | Vacant Land,0,Residential | Residential
10348,22A020000,1,1963,NA,Single Family,1,Residential
1035,41A001170,1,1986,NA,Single Family,1,Residential
10350,270091210,1,2004,NA,Single Family,1,Residential
10351,22A054000,1,1963,NA,Single Family,1,Residential
10352,55A141100,1,1970,NA,Single Family-1 Conversion,1,Residential
10353,270091600,1,2003,NA,Single Family,1,Residential
10354,220144000,1,1952,NA,Single Family,1,Residential
10355,250081000,1,2002,NA,Single Family,1,Residential
10356,210116000,1,1921,NA,Single Family-1 Conversion,1,Residential
10357,240183000,1,1978,NA,Single Family Attached,2,Residential
10358,270046000,1,1947,NA,Single Family,1,Residential
10359,250028000,1,NA,NA,Vacant Land,0,Residential
1036,42A053000,1,1956,NA,Single Family,1,Residential
10360,270037000,1,1900,NA,Single Family-1 Conversion,1,Residential
10361,240150000,1,1978,NA,Single Family Attached,2,Residential
10362,220159000,1,1930,NA,Single Family-1 Conversion,1,Residential
10363,580212000,1,1920,NA,Single Family,1,Residential
10364,580219000,1,1958,21000,Church,1,Commercial
10365,240113000,1,1978,NA,Duplex,1,Residential
10366,590021000,1,1932,NA,Single Family,1,Residential
10367,55A137000,1,1968,NA,Single Family,1,Residential
10368,560119100,1,1991,NA,Single Family Attached,2,Residential
10369,240227000,1,1975,NA,Single Family Attached,2,Residential
1037,41A001180,1,1986,NA,Single Family,1,Residential
10370,240069000,1,1967,NA,Single Family,1,Residential
10371,18A016000,1,1953,NA,Single Family,1,Residential
10372,590224100,1,1991,NA,Duplex,1,Residential
10373,570063000,1,1935,NA,Single Family,1,Residential
10374,570129000,1,1970,NA,Single Family-2 Conversion,2,Residential
10375,570125A00,1,2000,4320,Apartments 1-10 units,2,Commercial
10376,220111500,1,1959,NA,Single Family,1,Residential
10377,560119200,1,1991,NA,Single Family Attached,2,Residential
