GPIN,PIN_ALL,PIN_Count,Oldest_Structure,Largest_Structure_SqFT,UseCode_All,Max_UseCodeRisk,Source_All
13867,21B052000,1,NA,NA,Vacant Land,0,Residential
13868,200205000,1,1963,NA,Single Family,1,Residential
13869,200202000,1,1963,NA,Duplex,1,Residential
1387,410053100,1,1955,NA,Single Family,1,Residential
13870,200204000,1,1963,NA,Single Family,1,Residential
13871,200203000,1,1963,NA,Single Family,1,Residential
13872,270001000,1,NA,NA,Vacant Land,0,Residential
13873,470050000,1,1870,NA,Single Family,1,Residential
13874,470005000,1,1959,NA,Single Family,1,Residential
13875,370081400,1,1960,1769,Office Building,2,Commercial
13876,020019100,1,1990,NA,Single Family,1,Residential
13877,25A116000,1,2005,NA,Single Family,1,Residential
1388,390053100,1,NA,NA,Vacant Land,0,Residential
13888,25A115000,1,2005,NA,Single Family,1,Residential
13889,25A114000,1,2005,NA,Single Family,1,Residential
1389,390002400,1,1957,NA,Single Family,1,Residential
13890,25A113000,1,2005,NA,Single Family,1,Residential
13891,25A112000,1,2005,NA,Single Family,1,Residential
13892,25A111000,1,2005,NA,Single Family,1,Residential
13893,25A110000,1,2005,NA,Single Family,1,Residential
13894,25A109000,1,2005,NA,Single Family,1,Residential
13896,25A107000,1,2005,NA,Single Family,1,Residential
13897,25A106000,1,2005,NA,Single Family,1,Residential
13898,25A105000,1,2005,NA,Single Family-1 Conversion,1,Residential
13899,25A104000,1,2005,NA,Single Family,1,Residential
139,42C083000,1,1972,NA,Single Family,1,Residential
1390,410052000,1,1956,NA,Single Family,1,Residential
13900,25A103000,1,2005,NA,Single Family,1,Residential
13901,25A102000,1,2005,NA,Single Family,1,Residential
13902,25A101000,1,2005,NA,Single Family,1,Residential
13903,260057100,1,NA,NA,Vacant Land,0,Residential
13904,190052000,1,1949,NA,Single Family,1,Residential
13905,410029000,1,1921,NA,Single Family-2 Conversion,2,Residential
13906,030066000,1,1970,NA,Single Family,1,Residential
13907,030065000,1,1957,NA,Single Family,1,Residential
13908,030067200,1,2001,NA,Single Family,1,Residential
13909,510181000,1,1953,NA,Duplex,1,Residential
1391,43A002180,1,1968,NA,Single Family,1,Residential
13910,540111000,1,1925,NA,Duplex,1,Residential
13911,540107000,1,1973,NA,Single Family Attached,2,Residential
13912,540107200 | 540107200,2,1972,18024,Apartments over 20 units | Apartments over 20 units,2,Commercial | Residential
13913,570007600,1,NA,NA,Vacant Land,0,Residential
13915,570145A00,1,2006,NA,Single Family,1,Residential
13916,570145B00,1,2006,NA,Single Family Attached,2,Residential
13917,580355000,1,NA,NA,Vacant Land,0,Residential
13918,570001000,1,1910,NA,Single Family-1 Conversion,1,Residential
13919,570001100,1,NA,NA,Vacant Land,0,Residential
13920,570002000,1,2002,546,Storage Warehouse,1,Commercial
13921,580358000 | 580358100 | 580358101 | 580358110 | 580358120 | 580358130 | 580358140 | 580358160 | 580358170 | 580358180 | 580358190 | 580358200 | 580358201 | 580358220 | 580358230 | 580358240 | 580358250 | 580358260 | 580358270 | 580358280 | 580358290 | 580358300 | 580358301 | 580358320 | 580358330 | 580358340 | 580358350 | 580358360 | 580358370 | 580358380 | 580358390 | 580358400 | 580358401 | 580358410 | 580358420 | 580358500 | 580358600 | 580358700 | 580358800 | 580358900 | 580358AA0,41,2003,NA,Condo Common Area | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium,2,Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential
13922,570145C00,1,NA,NA,Vacant Land,0,Residential
13924,570142000,1,1910,NA,Single Family,1,Residential
13925,580358C00,1,2004,NA,Condominium,2,Residential
13926,580358D00,1,2004,NA,Condominium,2,Residential
13927,580358A00,1,2005,NA,Condominium,2,Residential
13928,580358B00,1,2005,NA,Condominium,2,Residential
13929,570143000,1,1912,NA,Single Family,1,Residential
13930,400020A00,1,2006,NA,Single Family,1,Residential
13931,400020000,1,1947,NA,Single Family,1,Residential
13932,290142000,1,1925,NA,Apartments 1-10 units,2,Commercial
13933,300019000 | 30001912A | 30001912B | 30001912C | 30001912D | 30001913A | 30001913B | 30001913C | 30001913D | 30001914A | 30001914B | 30001914C | 30001914D | 30001921A | 30001921B | 30001922A | 30001922B | 30001922C | 30001922D | 30001923A | 30001923B | 30001923C | 30001923D | 30001924A | 30001924B | 30001924C | 30001924D | 30001931A | 30001931B | 30001932A | 30001932B | 30001932C | 30001932D | 30001933A | 30001933B | 30001933C | 30001933D | 30001934A | 30001934B | 30001934C | 30001934D | 30001941A | 30001941B | 30001942A | 30001942B | 30001942C | 30001942D | 30001943A | 30001943B | 30001943C | 30001943D | 30001944A | 30001944B | 30001944C | 30001944D | 30001951A | 30001951B | 30001951C | 30001951D | 30001952A | 30001952B | 30001952C | 30001952D | 30001953A | 30001953B | 30001953C | 30001953D | 30001961A | 30001961B | 30001962A | 30001962B | 30001962C | 30001962D | 30001963A | 30001963B | 30001963C | 30001963D | 30001964A | 30001964B | 30001964C | 30001964D | 30001971A | 30001971B | 30001972A | 30001972B | 30001972C | 30001972D | 30001973A | 30001973B | 30001973C | 30001973D | 30001974A | 30001974B | 30001974C | 30001974D | 30001981A | 30001981B | 30001982A | 30001982B | 30001982C | 30001982D | 30001983A | 30001983B | 30001983C | 30001983D | 30001984A | 30001984B | 30001984C | 30001984D | 300019A1A | 300019A1B | 300019A2A | 300019A2B | 300019A2C | 300019A2D | 300019A3A | 300019A3B | 300019A3C | 300019A3D | 300019A4A | 300019A4B | 300019A4C | 300019A4D | 300019B1A | 300019B1B | 300019B2A | 300019B2B | 300019B2C | 300019B2D | 300019B3A | 300019B3B | 300019B3C | 300019B3D | 300019B4A | 300019B4B | 300019B4C | 300019B4D | 300019C1A | 300019C1B | 300019C2A | 300019C2B | 300019C2C | 300019C2D | 300019C3A | 300019C3B | 300019C3C | 300019C3D | 300019C4A | 300019C4B | 300019C4C | 300019C4D | 300019D1A | 300019D1B | 300019D1C | 300019D1D | 300019D2A | 300019D2B | 300019D2C | 300019D2D | 300019D3A | 300019D3B | 300019D3C | 300019D3D | 300019E1B | 300019E2B | 300019E2D | 300019E3B | 300019E3D | 300019E4B | 300019E4D | 300019F1A | 300019F1B | 300019F2A | 300019F2B | 300019F2C | 300019F2D | 300019F3A | 300019F3B | 300019F3C | 300019F3D | 300019F4A | 300019F4B | 300019F4C | 300019F4D | 300019G1A | 300019G1B | 300019G2A | 300019G2B | 300019G2C | 300019G2D | 300019G3A | 300019G3B | 300019G3C | 300019G3D | 300019G4A | 300019G4B | 300019G4C | 300019G4D | 300019H1A | 300019H1B | 300019H2A | 300019H2B | 300019H2C | 300019H2D | 300019H3A | 300019H3B | 300019H3C | 300019H3D | 300019H4A | 300019H4B | 300019H4C | 300019H4D | 300019J1A | 300019J1B | 300019J2A | 300019J2B | 300019J2C | 300019J2D | 300019J3A | 300019J3B | 300019J3C | 300019J3D | 300019J4A | 300019J4B | 300019J4C | 300019J4D,226,2004,NA,Condo Common Area | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium,2,Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential
13934,300071000,1,1900,NA,Single Family,1,Residential
13935,300070000,1,1900,NA,Single Family,1,Residential
13936,110114000 | 110114000,2,2008,31300,Office Building | Office Building,2,Commercial | Residential
13937,110117000 | 110117100 | 110117101 | 110117110 | 110117200 | 110117210 | 110117212 | 110117220 | 110117230 | 110117240 | 110117250 | 110117260 | 110117270 | 110117280 | 110117290 | 110117300 | 110117301 | 110117310 | 110117320 | 110117330 | 110117340 | 110117350 | 110117360 | 110117370 | 110117380 | 110117390 | 110117400 | 110117410 | 110117420 | 110117430 | 110117440 | 110117450 | 110117460 | 110117470 | 110117480 | 110117490 | 110117500 | 110117510 | 110117520 | 110117530 | 110117540 | 110117550 | 110117560 | 110117570 | 110117580 | 110117590 | 110117600 | 110117601 | 110117700 | 110117800 | 110117900,51,2001,20282,Apartments over 20 units | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium,2,Commercial | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential
13938,290052000 | 290052000 | 290052101 | 290052102 | 290052103 | 290052104 | 290052105 | 290052106,8,0,NA,Condo Common Area | Condo Common Area | Condominium | Condominium | Condominium | Condominium | Condominium | Condominium,2,Residential | Residential | Residential | Residential | Residential | Residential | Residential | Residential
13939,290234000,1,1996,3480,Clubhouse,2,Commercial
1394,390011000,1,1937,NA,Single Family,1,Residential
13940,130075000 | 130075000,2,1941,NA,Single Family | Single Family,1,Residential | Residential
13941,090088000,1,1900,2600,Restaurant,1,Commercial
13942,090089000 | 090089000,2,1910,1140,Office Building | Office Building,2,Commercial | Commercial
13943,090078100 | 090078100 | 090078100,3,1900,2319,Retail Store | Retail Store | Retail Store,1,Commercial | Commercial | Commercial
13944,040283000 | 040283000 | 040283000 | 040283000,4,1988,16665,Apartments over 20 units | Apartments over 20 units | Apartments over 20 units | Apartments over 20 units,2,Commercial | Commercial | Commercial | Commercial
13945,040291000,1,1986,31260,Apartments over 20 units,2,Commercial
13947,040245100 | 040245100,2,1987,6783,Apartments over 20 units | Apartments over 20 units,2,Commercial | Commercial
13948,040305000 | 040305000 | 040305000,3,1500,5136,Apartments over 20 units | Apartments over 20 units | Apartments over 20 units,2,Commercial | Residential | Residential
1395,400016000,1,1951,NA,Single Family-1 Conversion,1,Residential
13950,040232000,1,2005,NA,Single Family,1,Residential
13951,040231000,1,2005,NA,Single Family,1,Residential
13952,040229000,1,2005,NA,Single Family,1,Residential
13953,040230000,1,1969,NA,Single Family,1,Residential
13954,310136000,1,2005,NA,Single Family,1,Residential
13955,310137000,1,2005,NA,Single Family,1,Residential
13956,310018000,1,1982,6050,Service Repair Garage,1,Commercial
13957,330032A00,1,1999,NA,Single Family,1,Residential
13958,330032000,1,1884,NA,Single Family,1,Residential
13959,350027000,1,1925,NA,Single Family,1,Residential
1396,400013100,1,1981,NA,Single Family,1,Residential
13960,350040000,1,1945,NA,Single Family,1,Residential
13961,350041000,1,1925,NA,Single Family,1,Residential
13962,050121000,1,1935,NA,Single Family,1,Residential
13963,22B169100,1,2014,NA,Single Family,1,Residential
13964,22B169000,1,2004,NA,Duplex,1,Residential
13965,21A119A00,1,1975,NA,Single Family Attached,2,Residential
13966,21A119000,1,1975,NA,Single Family Attached,2,Residential
13967,21A120000,1,1975,NA,Single Family Attached,2,Residential
13968,21A121A00,1,1975,NA,Single Family Attached,2,Residential
13969,21A122000,1,1975,NA,Duplex,1,Residential
1397,410013000,1,1953,NA,Single Family,1,Residential
13970,21A121000,1,1975,NA,Single Family Attached,2,Residential
13971,21B020000,1,1920,NA,Single Family,1,Residential
13972,020023000,1,1953,NA,Single Family,1,Residential
13974,020023A00,1,2000,NA,Single Family,1,Residential
13975,21B016280,1,2005,NA,Single Family Attached,2,Residential
13976,21B016300,1,2005,NA,Single Family Attached,2,Residential
13977,21B016700,1,2006,NA,Single Family Attached,2,Residential
13978,21B016900,1,2006,NA,Single Family Attached,2,Residential
13979,21B016800,1,2006,NA,Single Family Attached,2,Residential
1398,410018000,1,1930,NA,Single Family,1,Residential
13980,21B016101,1,2006,NA,Single Family Attached,2,Residential
13981,21B016460,1,2006,NA,Single Family Attached,2,Residential
13982,21B016450,1,2006,NA,Single Family Attached,2,Residential
13983,21B016410,1,2006,NA,Single Family Attached,2,Residential
13987,21B016180,1,2006,NA,Single Family Attached,2,Residential
13988,21B016190,1,2006,NA,Single Family Attached,2,Residential
13989,21B016201,1,2006,NA,Single Family Attached,2,Residential
1399,390053000,1,1942,NA,Single Family,1,Residential
13990,21B016210,1,2006,NA,Single Family Attached,2,Residential
13991,21B016220,1,2006,NA,Single Family Attached,2,Residential
13992,21B016230,1,2006,NA,Single Family Attached,2,Residential
13993,21B016240,1,2006,NA,Single Family Attached,2,Residential
13994,21B016170,1,2006,NA,Single Family Attached,2,Residential
13995,21B016160,1,2006,NA,Single Family Attached,2,Residential
13996,21B016150,1,2006,NA,Single Family Attached,2,Residential
13997,21B016140,1,2006,NA,Single Family Attached,2,Residential
13998,21B016130,1,2006,NA,Single Family Attached,2,Residential
13999,21B016120,1,2006,NA,Single Family Attached,2,Residential
14,42C101000,1,1973,NA,Single Family,1,Residential
140,42C065000,1,1971,NA,Single Family,1,Residential
1400,410017000,1,1948,NA,Single Family,1,Residential
14001,21B016110,1,2006,NA,Single Family Attached,2,Residential
14002,21B016440,1,2006,NA,Single Family Attached,2,Residential
14003,21B016430,1,2006,NA,Single Family Attached,2,Residential
14004,21B016420,1,2006,NA,Single Family Attached,2,Residential
14006,21B016401,1,2006,NA,Single Family Attached,2,Residential
14007,21B016390,1,2006,NA,Single Family Attached,2,Residential
14008,21B016380,1,2006,NA,Single Family Attached,2,Residential
14009,21B016370,1,2006,NA,Single Family Attached,2,Residential
1401,43A002190,1,1969,NA,Single Family,1,Residential
14010,21B016360,1,2006,NA,Single Family Attached,2,Residential
14011,21B016350,1,2006,NA,Single Family Attached,2,Residential
14012,21B016340,1,2006,NA,Single Family Attached,2,Residential
14013,21B016330,1,2006,NA,Single Family Attached,2,Residential
14014,21B016320,1,2005,NA,Single Family Attached,2,Residential
14015,21B016310,1,2005,NA,Single Family Attached,2,Residential
14016,21B016301,1,2005,NA,Single Family Attached,2,Residential
14017,21B016290,1,2005,NA,Single Family Attached,2,Residential
14018,21B016260,1,2005,NA,Single Family Attached,2,Residential
14019,21B016000,1,NA,NA,Condo Common Area,1,Residential
1402,410045000,1,1955,NA,Duplex,1,Residential
14020,21B016600,1,2006,NA,Single Family Attached,2,Residential
14021,21B016500,1,2006,NA,Single Family Attached,2,Residential
14022,21B016400,1,2006,NA,Single Family Attached,2,Residential
14023,21B016270,1,2005,NA,Single Family Attached,2,Residential
14024,22B168100,1,1986,NA,Duplex,1,Residential
14025,48A041B11,1,2007,NA,Single Family,1,Residential
14026,48A041B12,1,2007,NA,Single Family,1,Residential
14027,48A041B13,1,2008,NA,Single Family,1,Residential
14028,48A041B14,1,2008,NA,Single Family,1,Residential
14029,48A041B15,1,2006,NA,Single Family,1,Residential
14030,48A041B16,1,2006,NA,Single Family,1,Residential
14031,48A041B17,1,2006,NA,Single Family,1,Residential
14032,48A041B18,1,2006,NA,Single Family,1,Residential
14033,48A041B19,1,2006,NA,Single Family,1,Residential
14034,48A041B20,1,2006,NA,Single Family,1,Residential
14035,48A041B21,1,2006,NA,Single Family,1,Residential
14036,48A041B22,1,2006,NA,Single Family,1,Residential
14037,48A041B23,1,2005,NA,Single Family,1,Residential
1404,400013000,1,1950,NA,Single Family,1,Residential
14040,48A041B24,1,2015,NA,Single Family,1,Residential
14041,48A041B00,1,2008,NA,Single Family,1,Residential
14042,600196000,1,1902,NA,Single Family,1,Residential
14044,260097B00,1,1940,6145,Storage Warehouse,1,Commercial
14045,260097C00,1,1940,4292,Storage Warehouse,1,Commercial
14047,260097A00,1,1940,0,Office Building,2,Commercial
14048,560050000,1,2004,NA,Single Family Attached,2,Residential
14049,560050100,1,2004,NA,Single Family,1,Residential
1405,410014100,1,1956,NA,Single Family,1,Residential
14050,600143000,1,1920,NA,Single Family-1 Conversion,1,Residential
14051,600142100,1,2005,NA,Single Family,1,Residential
14052,600142000,1,1900,NA,Single Family,1,Residential
14053,600143100,1,1991,NA,Duplex,1,Residential
14055,590126000,1,2005,NA,Single Family,1,Residential
14056,55A088611,1,2010,NA,Single Family,1,Residential
14057,55A08861A,1,2012,NA,Single Family,1,Residential
14058,55A088690,1,2017,NA,Single Family,1,Residential
1406,400015000,1,1948,NA,Single Family-1 Conversion,1,Residential
14060,55A088670,1,NA,NA,Vacant Land,0,Residential
14061,55A088660,1,2013,NA,Single Family,1,Residential
14062,55A08862A,1,2007,NA,Single Family,1,Residential
14063,55A088619,1,2014,NA,Single Family,1,Residential
14064,55A088621,1,2010,NA,Single Family,1,Residential
14065,55A088618,1,2014,NA,Single Family,1,Residential
14067,55A088622,1,2007,NA,Single Family,1,Residential
14068,55A088617,1,NA,NA,Vacant Land,0,Residential
14069,55A088650,1,2014,NA,Single Family,1,Residential
1407,410044000,1,1952,NA,Single Family,1,Residential
14070,55A088640,1,2006,NA,Single Family,1,Residential
14071,55A088630,1,2009,NA,Single Family,1,Residential
14072,55A088620,1,NA,NA,Vacant Land,0,Residential
14073,55A088610,1,2005,NA,Single Family,1,Residential
14076,55A088616,1,2005,NA,Single Family,1,Residential
14077,55A088615,1,2007,NA,Single Family,1,Residential
14078,55A088614,1,2012,NA,Single Family,1,Residential
14079,55A088613,1,2007,NA,Single Family-1 Conversion,1,Residential
1408,400021000,1,1950,NA,Single Family,1,Residential
14080,55A088612,1,2008,NA,Single Family,1,Residential
14081,55A0888D0,1,2012,NA,Single Family,1,Residential
14082,55A0888C0,1,NA,NA,Vacant Land,0,Residential
14083,55A0888AA,1,NA,NA,Condo Common Area,1,Residential
14084,55A0888B0,1,NA,NA,Vacant Land,0,Residential
14085,55A0888A0,1,2009,NA,Single Family,1,Residential
14086,55A0888E0,1,2007,NA,Single Family,1,Residential
14089,300075000,1,NA,NA,Vacant Land,0,Residential
1409,390003100,1,1957,NA,Single Family,1,Residential
14091,48A041B02,1,2006,NA,Single Family,1,Residential
14092,48A041B03,1,2005,NA,Single Family,1,Residential
14093,48A041B04,1,2006,NA,Single Family,1,Residential
14094,48A041B05,1,2006,NA,Single Family,1,Residential
14095,48A041B06,1,2006,NA,Single Family,1,Residential
14096,48A041B07,1,2006,NA,Single Family,1,Residential
14097,48A041B08,1,2006,NA,Single Family,1,Residential
14098,48A041B09,1,2007,NA,Single Family,1,Residential
14099,48A041B10,1,2007,NA,Single Family,1,Residential
141,42C020000,1,1965,NA,Single Family,1,Residential
1410,410035000,1,1954,NA,Single Family-1 Conversion,1,Residential
14100,200075100,1,1980,NA,Single Family Attached,2,Residential
14101,200075000,1,1980,NA,Single Family Attached,2,Residential
14103,21A095000,1,1940,NA,Single Family,1,Residential
14107,17A024000,1,1947,NA,Duplex,1,Residential
14108,17A024A00,1,2006,NA,Duplex,1,Residential
1411,400034000,1,1966,NA,Single Family,1,Residential
14110,560101A00,1,1999,NA,Single Family,1,Residential
14111,560100000,1,1920,NA,Single Family,1,Residential
14112,560095100,1,2005,NA,Single Family Attached,2,Residential
14113,560095000,1,2005,NA,Single Family Attached,2,Residential
14116,550002000,1,2003,NA,Single Family,1,Residential
14117,550003000,1,2003,NA,Single Family,1,Residential
14118,550006000,1,NA,NA,Vacant Land,0,Residential
1412,390052100,1,NA,NA,Vacant Land,0,Residential
14120,040302000,1,2006,NA,Apartments over 20 units,2,Commercial
14121,050122000,1,1946,NA,Single Family,1,Residential
14122,470002120,1,1963,3532,Church,1,Commercial
14123,450025000,1,1954,NA,Single Family,1,Residential
14124,480109000,1,1916,NA,Single Family,1,Residential
14125,200076000,1,1955,NA,Single Family-2 Conversion,2,Residential
14127,300117300 | 300117300,2,2008,NA,Single Family | Single Family,1,Residential | Residential
14128,600125A00,1,2005,NA,Single Family,1,Residential
1413,410051000,1,1946,NA,Single Family,1,Residential
14137,590362100,1,2006,NA,Single Family Attached,2,Residential
14138,590362200,1,2006,NA,Single Family Attached,2,Residential
14139,590362300,1,2007,NA,Single Family,1,Residential
1414,010004100,1,2019,12630,Retail,1,Commercial
14140,590362400,1,2007,NA,Single Family,1,Residential
14142,590362700,1,2005,NA,Single Family Attached,2,Residential
14143,570145B10,1,2006,NA,Single Family Attached,2,Residential
1415,410036000,1,1946,NA,Single Family,1,Residential
14151,580058A00,1,2005,NA,Single Family,1,Residential
14152,18A130000,1,2019,NA,Single Family,1,Residential
14153,18A129000,1,2019,NA,Single Family,1,Residential
14154,18A128000,1,2019,NA,Single Family,1,Residential
14155,18A127000,1,NA,NA,Vacant Land,0,Residential
14156,18A126000,1,NA,NA,Vacant Land,0,Residential
14157,18A051000,1,2006,NA,Single Family,1,Residential
14158,18A052000,1,2006,NA,Single Family,1,Residential
14159,18A053000,1,2006,NA,Single Family,1,Residential
1416,390010000 | 390010000,2,1930,NA,Single Family-1 Conversion | Single Family-1 Conversion,1,Residential | Residential
14160,18A054000,1,2006,NA,Single Family,1,Residential
14161,18A055000,1,2006,NA,Single Family,1,Residential
14162,230088A00,1,2008,NA,Single Family,1,Residential
14164,540106100,1,NA,NA,Vacant Land,0,Residential
14166,260043120,1,2007,NA,Single Family,1,Residential
14167,260043110,1,2007,NA,Single Family,1,Residential
14168,260043101,1,2006,NA,Single Family,1,Residential
14169,260043900,1,2006,NA,Single Family,1,Residential
1417,400022000,1,1954,NA,Single Family,1,Residential
14170,260043800,1,2007,NA,Single Family,1,Residential
14171,260043700,1,2009,NA,Single Family,1,Residential
14172,260043600,1,2006,NA,Single Family,1,Residential
14173,260043500,1,2006,NA,Single Family,1,Residential
14174,260043400,1,2006,NA,Single Family,1,Residential
14175,260043300,1,2006,NA,Single Family,1,Residential
14176,260043200,1,2006,NA,Single Family,1,Residential
14177,260043100,1,2006,NA,Single Family,1,Residential
14178,260043180,1,2009,NA,Single Family,1,Residential
14179,260043150,1,2006,NA,Single Family,1,Residential
1418,010001700,1,1963,53618,Transit Warehouse,1,Commercial
14180,260043140,1,NA,NA,Vacant Land,0,Residential
14181,260043130,1,NA,NA,Vacant Land,0,Residential
14182,260043B00,1,NA,NA,Condo Common Area,1,Residential
14189,5600404A0 | 5600404A0 | 5600404A0 | 5600404A0,4,2000,46250,Mini-warehouse | Mini-warehouse | Mini-warehouse | Mini-warehouse,1,Commercial | Commercial | Commercial | Commercial
14190,260043160,1,2006,NA,Single Family,1,Residential
14191,260043170,1,2009,NA,Single Family,1,Residential
14192,41A004700,1,2006,NA,Single Family,1,Residential
14193,41A004800,1,2007,NA,Single Family,1,Residential
14194,41A004900,1,2007,NA,Single Family,1,Residential
14195,600252200,1,NA,NA,Vacant Land,0,Residential
14196,040228000,1,2006,NA,Single Family,1,Residential
14197,540277A00 | 540277A00,2,2001,10455,Apartments 11-20 Units | Apartments 11-20 Units,2,Commercial | Commercial
14198,18A033000 | 18A033000,2,1923,5856,Apartments 1-10 units | Apartments 1-10 units,2,Commercial | Commercial
14199,490009220,1,2006,NA,Single Family,1,Residential
142,43C099000,1,1969,NA,Single Family,1,Residential
1420,410014000,1,1955,NA,Single Family,1,Residential
14200,41C0031A0,1,0,6318,Service Repair Garage,1,Commercial
14201,22A003500,1,2007,NA,Single Family,1,Residential
14202,22A003290,1,2007,NA,Single Family,1,Residential
14203,22A003210,1,2009,NA,Single Family,1,Residential
14204,22A003220,1,2008,NA,Single Family,1,Residential
