,parcel_area-objectid,parcel_area-assessment,parcel_area-geoparcelidentificationnumber,parcel_area-legaldescription,parcel_area-lotsquarefeet,parcelnumber,parcel_area-zoning,real_estate_commercial-recordid_int,usecode,yearbuilt,real_estate_commercial-grossarea,real_estate_commercial-storyheight,real_estate_commercial-numberofstories
11594,5696,386800,13937,UNIT 304 BLD 3 THE BARRINGER,0.0,110117340,UHD,,,,,,
11595,5696,336400,13937,UNIT 309 BLD 3 THE BARRINGER,0.0,110117390,UHD,,,,,,
11596,5696,336800,13937,UNIT 109 BLD 3 THE BARRINGER,0.0,110117900,UHD,,,,,,
11597,5696,318700,13937,UNIT 102 BLD 3 THE BARRINGER,0.0,110117200,UHD,,,,,,
11598,5696,267300,13937,UNIT 103 BLD 3 THE BARRINGER,0.0,110117300,UHD,,,,,,
11599,5696,267300,13937,UNIT 110 BLD 3 THE BARRINGER,0.0,110117101,UHD,,,,,,
11600,5696,302000,13937,UNIT 202 BLD 3 THE BARRINGER,0.0,110117220,UHD,,,,,,
11601,5696,267300,13937,UNIT 205 BLD 3 THE BARRINGER,0.0,110117250,UHD,,,,,,
11602,5699,434200,6725,LOT 31 MONTEBELLO,15942.96,160021000,R-2U,,,,,,
11603,5720,214200,6748,LOT 6 WATKINS PLAT,0.0,500137000,R-1S,,,,,,
11604,5721,352100,6749,LOT 13 BK D MERIWETHER LEWIS,0.0,540034000,R-1S,,,,,,
11605,5727,247900,6758,LOT 26 BK A GOLF CLUB,0.0,500127000,R-1S,,,,,,
11606,5734,1544600,6767,FIRST BAPTIST CHUCH,12937.32,290001000,WMEH,859.0,Church,1865.0,4167.0,20.0,1.0
11607,5739,211100,6773,UNIT 10 THE EIGHT TWENTY CONDO,609.84,530259101,DN,,,,,,
11608,5739,434500,6773,UNIT 11 THE EIGHT TWENTY CONDO,1263.24,530259110,DN,,,,,,
11609,5739,351900,6773,UNIT 12 THE EIGHT TWENTY CONDO,1001.88,530259120,DN,,,,,,
11610,5739,236200,6773,UNIT 7 THE EIGHT TWENTY CONDO,683.8919999999999,530259700,DN,,,,,,
11611,5739,228300,6773,UNIT 8 THE EIGHT TWENTY CONDO,662.112,530259800,DN,,,,,,
11612,5739,342300,6773,UNIT 9 THE EIGHT TWENTY CONDO,1036.728,530259900,DN,,,,,,
11613,5739,224600,6773,UNIT 4 THE EIGHT TWENTY CONDO,653.4,530259400,DN,,,,,,
11614,5739,242300,6773,UNIT 13 THE EIGHT TWENTY CONDO,705.672,530259130,DN,,,,,,
11615,5739,319200,6773,UNIT 14 THE EIGHT TWENTY CONDO,901.692,530259140,DN,,,,,,
11616,5739,213400,6773,UNIT 2 THE EIGHT TWENTY CONDO,901.692,530259200,DN,,,,,,
11617,5739,217800,6773,UNIT 3 THE EIGHT TWENTY CONDO,631.62,530259300,DN,,,,,,
11618,5739,271300,6773,UNIT 5 THE EIGHT TWENTY CONDO,797.148,530259500,DN,,,,,,
11619,5739,240900,6773,UNIT 6 THE EIGHT TWENTY CONDO,736.164,530259600,DN,,,,,,
11620,5751,894400,6794,LOT,5880.6,290002000,WMEH,860.0,Office Building,1920.0,2500.0,12.0,1.0
11621,5756,255300,6799,LOT 27 BK A GOLF CLUB,0.0,500127100,R-1S,,,,,,
11622,5760,3696500,13912,"LOTS 10A,5 & PAR X  WOODS ADD",0.0,540107200,R-3,2074.0,Apartments over 20 units,1972.0,18024.0,12.0,3.0
11623,5766,487000,6810,LOT 32 MONTEBELLO,14679.72,160020000,R-2U,,,,,,
11624,5777,476500,6829,LOT 23 MONTEBELLO,12153.24,160008000,R-3,,,,,,
11625,5783,417500,6834,LOT,4704.48,530191000,DN,1964.0,Apartments 1-10 units,1925.0,2230.0,8.0,2.0
11626,5794,250400,6853,LOT A & PT ST MERIWETHER LEWIS,0.0,540037000,R-1S,,,,,,
11627,5825,321100,6907,LOTS 3 & 3A MERIWETHER LEWIS,0.0,540103000,R-2,,,,,,
11628,5838,342200,6926,PT LOTS 17&18 BK C MERIWETHER,0.0,540064000,R-1S,,,,,,
11629,5866,256900,13911,LOT 8AL WOODS ADD,0.0,540107000,MLTP,,,,,,
11630,5874,360300,6973,LOT 41 BK A GOLF CLUB,0.0,500115000,R-1S,,,,,,
11631,5881,301000,6987,LOT 5 BK D MERIWETHER LEWIS,0.0,540042000,R-1S,,,,,,
11632,5899,85500,7009,LOT 10 BK 5,0.0,540062000,R-1S,,,,,,
11633,5911,223000,7022,LOT 40 BK A GOLF CLUB,0.0,500116000,R-1S,,,,,,
11634,5916,426200,7028,LOT 9 BK A MERIWETHER LEWIS,0.0,540097100,R-1S,,,,,,
11635,5919,368400,7032,LOT 3 & PT 2 BK D MERIWETHER,0.0,540045000,R-1S,,,,,,
11636,5927,521400,7045,LOT A,0.0,540105100,R-2,,,,,,
11637,5938,512500,7057,LOT 1,0.0,540193000,R-2,,,,,,
11638,5948,286000,7069,"LOT 33,PT 32,34 BK A GOLF CLUB",0.0,500122000,R-1S,,,,,,
11639,5949,323000,7071,LOT 1 & PT 2 BK D MERIWETHER,0.0,540046000,R-1S,,,,,,
11640,5977,391200,7110,LOT 6 ST ANN'S SCHOOL LOT,0.0,540124000,R-3,,,,,,
11641,5981,144800,7140,UNIT 104 EAST E JEFF ST CONDO,762.3,530299900,DN,2039.0,Office,1989.0,762.0,10.0,1.0
11642,6008,303200,7151,LOTS 1&2 BK A MERIWETHER LEWIS,0.0,540099000,R-1S,,,,,,
11643,6020,90000,7165,LOT 14 BK C MERIWETHER LEWIS,0.0,540067000,R-1S,,,,,,
11644,6025,276600,7172,LOTS 3&4 BK A MERIWETHER LEWIS,0.0,540096000,R-1S,,,,,,
11645,6028,290600,7175,LOT 5,0.0,540192000,R-2,,,,,,
11646,6040,322000,7190,LOT B BK A MERIWETHER LEWIS,0.0,540095100,R-1S,,,,,,
11647,6055,241900,7210,LOTS 22 & 23 BK B MERIWETHER,0.0,540082000,R-1S,,,,,,
11648,6087,325800,7254,LOT 2 & PT 3 BK H MERIWETHER,0.0,540200000,R-2,,,,,,
11649,6124,475800,7305,LOTS 10 & 11 BK C MERIWETHER,0.0,540071000,R-1S,,,,,,
11650,6125,419800,7306,LOTS 7&8 BK B MERIWETHER LEWIS,0.0,540089000,R-1S,,,,,,
11651,6148,331000,7333,LOTS 9 & 10 BK B MERIWETHER,0.0,540085000,R-1S,,,,,,
11652,6166,434700,7361,LOTS 11 & 12 BK B MERIWETHER,0.0,540084000,R-1S,,,,,,
11653,6178,386200,7378,LOT 3 BK B GOLF CLUB,0.0,550005000,R-1S,,,,,,
11654,6184,597400,7389,LOT 4,0.0,540188000,R-2,,,,,,
11655,6186,287900,7391,LOT B BK H MERIWETHER LEWIS,0.0,540202100,R-2,,,,,,
11656,6187,344600,14117,LOT 41 BK B GOLF CLUB,0.0,550003000,R-1S,,,,,,
11657,6215,200400,7438,LOT 4 BK B GOLF CLUB,0.0,550007000,R-1S,,,,,,
11658,6262,263000,7503,LOT 22 BK B ARBOR HILLS,0.0,550075380,R-1S,,,,,,
11659,6265,318400,7506,LOTS 5 & 38 BK B GOLF CLUB,0.0,550008000,R-1S,,,,,,
11660,6269,502100,7512,LOT 15,7448.76,540131000,DN,2100.0,Commercial,1925.0,2044.0,,
11661,6287,423700,7537,LOT FARM LANE,0.0,540184000,R-2,,,,,,
11662,6311,190900,7566,LOT 6 BK B GOLF CLUB,0.0,550009000,R-1S,,,,,,
11663,6322,275000,7583,LOT 20 BK B ARBOR HILLS,0.0,550075360,R-1S,,,,,,
11664,6339,421800,7608,LOT 1 BK C MERIWETHER LEWIS,0.0,540078000,R-1S,,,,,,
11665,6348,232300,7620,LOT 7 BK B GOLF CLUB,0.0,550011000,R-1S,,,,,,
11666,6360,389300,7638,LOT 6 MERIWETHER LEWIS,0.0,540230000,R-1S,,,,,,
11667,6371,19200,7650,LOT 37 BK B GOLF CLUB,0.0,550010000,R-1S,,,,,,
11668,6372,170900,7653,LOT 3,0.0,540169000,R-1S,,,,,,
11669,6374,245300,7628,LOT 14 BK A ARBOR HILLS,0.0,550075300,R-1S,,,,,,
11670,6387,245600,7670,4.325 AC & PARCEL B BK H GOLF,188745.48,550076000,R-2,,,,,,
11671,6422,270100,7712,LOT 17 BK B ARBOR HILLS,0.0,550075330,R-1S,,,,,,
11672,6440,287300,7696,LOT 13 BK A ARBOR HILLS,0.0,550075400,R-1S,,,,,,
