,parcel_area-objectid,parcel_area-assessment,parcel_area-geoparcelidentificationnumber,parcel_area-legaldescription,parcel_area-lotsquarefeet,parcelnumber,parcel_area-zoning,real_estate_commercial-recordid_int,usecode,yearbuilt,real_estate_commercial-grossarea,real_estate_commercial-storyheight,real_estate_commercial-numberofstories
0,13413,28866800,846,PARCELS A & B PEN PARK,13795452.0,48B001000,R-1S,1608.0,City Club,1972.0,3001.0,12.0,1.0
1,12523,957900,796,PARCEL B,145054.8,41B004A00,MLTP,,,,,,
2,1326,305600,1525,LOT B BK 4 GREENLEAF TERRACE,9539.64,420044000,R-1,,,,,,
3,1304,331300,1500,LOT A BK 4 GREENLEAF TERRACE,12632.4,420043000,R-1,,,,,,
4,12213,308800,1789,UNIT 6 MELBOURNE PARK,0.0,460001600,R-3,,,,,,
5,12213,272000,1789,UNIT 7 MELBOURNE PARK,0.0,460001700,R-3,,,,,,
6,12213,282300,1789,UNIT 8 MELBOURNE PARK,0.0,460001800,R-3,,,,,,
7,12213,315600,1789,UNIT 9 MELBOURNE PARK,0.0,460001900,R-3,,,,,,
8,12213,293100,1789,UNIT 11 MELBOURNE PARK,0.0,460001110,R-3,,,,,,
9,12213,258800,1789,UNIT 10 MELBOURNE PARK,0.0,460001101,R-3,,,,,,
10,12979,388500,808,LOT 12 BK A SEC 1 ARLINGTON HG,0.0,43B032000,R-1,,,,,,
11,69822,3394800,1720,FUTURE UNITS PH III LOCHLYN HILL,42688.8,48A040000,PUD,,,,,,
12,34550,100,1680,"OPEN SPACE 1, 2, 3 & 4 LOCHLYN HILL PH II & PH III",306793.08,48A039000,PUD,,,,,,
13,1281,409000,1475,LOT 1 BK 1 GREENLEAF TERRACE,12458.16,380015000,R-1,,,,,,
14,1282,442900,1476,LOT 8,7579.44,380014000,R-1,,,,,,
15,1284,295000,1479,LOT 7 MEADOWBROOK HILLS,8799.12,380013000,R-1,,,,,,
16,1286,348400,1481,LOT 6 MEADOWBROOK HILLS,8799.12,380012000,R-1,,,,,,
17,1312,347600,1508,LOT 2 BK 1 GREENLEAF TERRACE,7840.8,380016000,R-1,,,,,,
18,1318,315200,1517,LOT 3 BK 1 GREENLEAF TERRACE,11717.64,380017000,R-1,,,,,,
19,1320,329700,1519,LOT 4 BK 1 GREENLEAF TERRACE,17162.64,380018000,R-1,,,,,,
20,1332,439200,1532,LOT 5 BK 1 GREENLEAF TERRACE,20908.8,380019000,R-1,,,,,,
21,1365,387700,1568,LOT 6 BK 1 GREENLEAF TERRACE,18643.68,380020000,R-1,,,,,,
22,1374,385300,1581,LOT 7 BK 1 GREENLEAF TERRACE,15725.16,380021000,R-1,,,,,,
23,1382,400800,1590,LOT 5 BK L SEC 1 RUGBY HILLS,10715.76,380034000,R-1,,,,,,
24,1389,371000,1597,LOT 8 BK 1 GREENLEAF TERRACE,10977.12,380022000,R-1,,,,,,
25,1397,430100,1606,LOT 9 BK 1 GREENLEAF TERRACE,10193.04,380023000,R-1,,,,,,
26,1402,443600,1611,LOT BK L SEC 1 RUGBY HILLS,13808.52,380033000,R-1,,,,,,
27,1404,361000,1615,LOT 10 BK 1 GREENLEAF TERRACE,10323.72,380024000,R-1,,,,,,
28,1412,384000,1624,LOT 11 BK 1 GREENLEAF TERRACE,10802.88,380025000,R-1,,,,,,
29,1416,404000,1629,LOT 7&PT LOT BK L RUGBY HILLS,12153.24,380031000,R-1,,,,,,
30,1425,339100,1639,LOT 12 BK 1 GREENLEAF TERRACE,9931.68,380026000,R-1,,,,,,
31,1428,455600,1643,LOTS 18 & 19 BK L RUGBY HILLS,12327.48,380030000,R-1,,,,,,
32,1435,442600,1650,LOT 13 BK 1 GREENLEAF TERRACE,9539.64,380027000,R-1,,,,,,
33,1437,771100,1652,LOTS 20-23 BK L RUGBY HILLS,27747.72,380029000,R-1,,,,,,
34,1446,441700,1663,PT LOT 13 BK K RUGBY HILLS,15376.68,380046000,R-1,,,,,,
35,1450,324600,1667,LOT 14 BK 1 GREENLEAF TERRACE,8668.44,380028000,R-1,,,,,,
36,1457,417800,1675,LOT A BK K SEC 1 RUGBY HILLS,14853.96,380047100,R-1,,,,,,
37,1475,442400,1698,LOTS B&C BK K SEC 1 RUGBY HILL,13111.56,380047000,R-1,,,,,,
38,661,299100,752,LOT 4 RUTLEDGE,0.0,41A004400,R-1,,,,,,
39,646,303500,757,LOT 5 & PARCEL A RUTLEDGE,0.0,41A004500,R-1,,,,,,
40,666,393100,759,LOT 3 RUTLEDGE,0.0,41A004300,R-1,,,,,,
41,678,299300,773,LOT 2 RUTLEDGE,0.0,41A004200,R-1,,,,,,
42,461,356600,537,LOT 10 BK G SEC 3 RUTLEDGE,0.0,41A020000,R-1,,,,,,
43,464,626300,541,LOT 4 BK J SEC 4 RUTLEDGE,0.0,41A008000,R-1,,,,,,
44,475,449500,553,LOT 9 BK G SEC 3 RUTLEDGE,0.0,41A021000,R-1,,,,,,
45,492,443700,573,LOT 11 BK G SEC 4 RUTLEDGE,0.0,41A019000,R-1,,,,,,
46,494,465300,575,LOT 8 BK G SEC 3 RUTLEDGE,0.0,41A022000,R-1,,,,,,
47,512,567000,594,LOT 7 BK G SEC 3 RUTLEDGE,0.0,41A023000,R-1,,,,,,
48,515,656600,597,LOTS 5 & 6 MEADOWBROOK HGTS,0.0,41A040000,R-1,,,,,,
49,518,408000,600,LOT 3 BK J SEC 4 RUTLEDGE,0.0,41A007000,R-1,,,,,,
50,520,445100,602,LOT 12 BK G SEC 4 RUTLEDGE,0.0,41A018000,R-1,,,,,,
51,534,382400,617,LOT 6 BK G SEC 3 RUTLEDGE,0.0,41A024000,R-1,,,,,,
52,541,467400,627,LOT 2 BK J SEC 4 RUTLEDGE,0.0,41A006000,R-1,,,,,,
53,549,534700,638,LOT 13 BK G SEC 4 RUTLEDGE,0.0,41A017000,R-1,,,,,,
54,552,440700,641,LOT 5 BK G SEC 3 RUTLEDGE,0.0,41A025000,R-1,,,,,,
55,564,354000,654,LOT 2 BK H SEC 3 RUTLEDGE,0.0,41A030000,R-1,,,,,,
56,570,610200,660,REVISED LOT 7 MEADOWBROOK HEIGHTS ADDITION,0.0,41A041000,R-1,,,,,,
57,571,581400,661,LOT C MEADOWBROOK HEIGHTS ADD,0.0,41A039000,R-1,,,,,,
58,573,411800,663,LOT 4 BK G SEC 3 RUTLEDGE,0.0,41A026000,R-1,,,,,,
59,577,455100,668,LOT 14 BK G SEC 4 RUTLEDGE,0.0,41A016000,R-1,,,,,,
60,582,386600,673,LOT 1 BK H SEC 3 RUTLEDGE,0.0,41A031000,R-1,,,,,,
61,585,420000,676,LOT 1 BK J SEC 4 RUTLEDGE,0.0,41A005000,R-1,,,,,,
62,589,351900,681,LOT 3 BK G SEC 3 RUTLEDGE,0.0,41A027000,R-1,,,,,,
63,594,654800,686,LOT B MEADOWBROOK HEIGHTS ADD,0.0,41A038000,R-1,,,,,,
64,608,457600,700,LOT 2 BK G SEC 3 RUTLEDGE,0.0,41A028000,R-1,,,,,,
65,612,646600,704,LOT 13 MEADOWBROOK HEIGHTS,0.0,41A077000,R-1,,,,,,
66,613,367200,705,LOT 12 BK D SEC 3 RUTLEDGE,0.0,41A032000,R-1,,,,,,
67,615,586700,707,LOT A MEADOWBROOK HEIGHTS ADD,0.0,41A037000,R-1,,,,,,
68,617,441500,710,LOT 15 BK G SEC 4 RUTLEDGE,0.0,41A015000,R-1,,,,,,
69,621,175000,713,REVISED LOT 8 MEADOWBROOK HEIGHT,0.0,41A042000,R-1,,,,,,
70,12469,400700,721,LOT 1 BK G SEC 3 RUTLEDGE,0.0,41A029000,R-1,,,,,,
71,631,584900,726,LOT 12 MEADOWBROOK HGTS,0.0,41A078000,R-1,,,,,,
72,635,601600,729,LOT 2 MEADOWBROOK HEIGHTS ADD,0.0,41A036000,R-1,,,,,,
73,651,386500,742,LOT 16 & B BK G RUTLEDGE,0.0,41A014000,R-1,,,,,,
74,654,488300,745,LOT 14 MEADOWBROOK HEIGHTS,0.0,41A076000,R-1,,,,,,
75,656,400000,747,LOT 11 BK D SEC 3 RUTLEDGE,0.0,41A033000,R-1,,,,,,
76,658,478800,749,LOT 1 MEADOWBROOK HEIGHTS ADD,0.0,41A035000,R-1,,,,,,
77,660,720200,750,PT LOT 5 & .3 AC BK A MEADOWBR,0.0,41A043000,R-1,,,,,,
78,13414,596700,1193,PARCEL C PEN PARK,87120.0,48B002000,R-1S,,,,,,
79,12100,15871800,1224,15.3318 ACRES MEADOWBROOK HGTS,667861.92,420001000,R-1,1576.0,Elementary Sch (Entire),1965.0,52528.0,12.0,1.0
80,1121,100800,1281,"LOTS 8A,9A,10A & PT 7A BK C ME",226512.0,42A002000,R-1,,,,,,
81,39246,102754500,1632,145.179 ACRES,6323997.24,450001000,MLTP,1594.0,Fire Station (staff),1950.0,,,
82,663,528700,754,LOT 11 MEADOWBROOK HEIGHTS,0.0,41A079000,R-1,,,,,,
83,673,530200,767,LOT 10 BK D SEC 3 RUTLEDGE,0.0,41A034000,R-1,,,,,,
84,677,721100,772,LOT 15 & PT 16 MEADOWBROOK HGT,0.0,41A075000,R-1,,,,,,
85,679,625300,774,LOT 10 MEADOWBROOK HGTS ADD,0.0,41A080000,R-1,,,,,,
86,681,490800,776,LOT 17 & C BK G RUTLEDGE,0.0,41A013000,R-1,,,,,,
87,692,312800,787,LOT 1 RUTLEDGE,0.0,41A004100,R-1,,,,,,
88,701,479800,798,LOT 9 MEADOWBROOK HEIGHTS,0.0,41A081000,R-1,,,,,,
89,705,362000,802,LOT 18 BK G SEC 4 RUTLEDGE,0.0,41A012000,R-1,,,,,,
90,707,323600,805,PARCEL C (.4082 AC) RUTLEDGE,0.0,41A003000,R-1,,,,,,
91,713,761800,811,PT LOT 16 MEADOWBROOK HGTS,0.0,41A074000,R-1,,,,,,
92,715,563300,812,LOT 5B & PAR X BK A MEADOWBROOK HGTS,0.0,41A044000,R-1,,,,,,
93,727,552600,828,LOT 6B BLK B MEADOWBROOK HGTS,0.0,41A058000,R-1,,,,,,
94,12521,381400,829,0.34 ACRES RUTLEDGE,0.0,41A002100,R-1,,,,,,
95,731,481900,833,LOT 19 BK G SEC 4 RUTLEDGE,0.0,41A011000,R-1,,,,,,
96,733,543300,835,LOT B BK B MEADOWBROOK HGTS,0.0,41A056000,R-1,,,,,,
97,736,515500,838,LOT 20 & PT 19 MEADOWBROOK HGT,0.0,41A082000,R-1,,,,,,
98,742,572200,844,LOT 5A BK A MEADOWBROOK HEIGHT,0.0,41A045000,R-1,,,,,,
99,756,668900,861,LOT 1A BK A MEADOWBROOK HEIGHT,0.0,41A046000,R-1H,,,,,,
100,757,416100,862,LOT 17 MEADOWBROOK HEIGHTS,0.0,41A073000,R-1,,,,,,
101,759,385400,865,LOT 20 BK G SEC 4 RUTLEDGE,0.0,41A010000,R-1,,,,,,
102,765,656100,871,LOT C BK B MEADOWBROOK HEIGTHS,0.0,41A055000,R-1,,,,,,
103,766,523800,872,PT LOT 19 MEADOWBROOK HEIGHTS,0.0,41A083000,R-1,,,,,,
104,773,441100,879,LOT 6A BK B MEADOWBROOK HEIGHT,0.0,41A059000,R-1,,,,,,
105,12522,3600,882,PT PARCEL E RUTLEDGE,28314.0,41A002000,R-1,,,,,,
106,786,530700,894,LOT 21 BK G SEC 4 RUTLEDGE,0.0,41A009000,R-1,,,,,,
107,787,526800,895,LOT 18 MEADOWBROOK HEIGHTS,0.0,41A084000,R-1,,,,,,
108,793,425600,901,LOT 5B BK D MEADOWBROOK HGTS,0.0,41A072000,R-1,,,,,,
109,796,585200,907,LOT D BK B MEADOWBROOK HEIGHTS,0.0,41A054000,R-1,,,,,,
110,802,462900,914,PT LOT 5 BK B MEADOWBROOK HGTS,0.0,41A060000,R-1,,,,,,
111,809,639500,923,LOT 6 BK D MEADOWBROOK HEIGHTS,0.0,41A085000,R-1,,,,,,
112,810,551300,924,LOT 5A BK D MEADOWBROOK HGTS,16204.32,41A071000,R-1,,,,,,
113,812,882500,926,"PT LOTS 1,2&PAR X BK A MEAD HG",0.0,41A047000,R-1,,,,,,
114,818,716000,932,LOT E BK B MEADOWBROOK HEIGHTS,0.0,41A053000,R-1,,,,,,
115,821,217400,935,LOT 1 BK 2 BRANDYWINE,0.0,41A001500,PUD,,,,,,
116,825,201500,940,LOT 2 BK 2 BRANDYWINE,0.0,41A001600,PUD,,,,,,
117,827,402300,942,PT LOT 5 BK B MEADOWBROOK HGTS,0.0,41A061000,R-1,,,,,,
118,830,202200,946,LOT 3 BK 2 BRANDYWINE,0.0,41A001700,PUD,,,,,,
119,835,221100,951,LOT 4 BK 2 BRANDYWINE,0.0,41A001800,PUD,,,,,,
120,841,684600,957,LOT 4 BK D MEADOWBROOK HEIGHTS,0.0,41A070000,R-1,,,,,,
121,843,608600,959,LOT F BK B MEADOWBROOK HEIGHTS,0.0,41A052000,R-1,,,,,,
122,847,417800,963,PT LOTS 2 & 3 BK A MEADOWBROOK,0.0,41A048000,R-1,,,,,,
123,848,526900,964,LOT B BK B MEADOWBROOK HGTS,0.0,41A062000,R-1,,,,,,
124,857,409500,974,LOT B BK D MEADOWBROOK HEIGHTS,0.0,41A086000,R-1,,,,,,
125,866,259700,984,LOT 1 BK 3 BRANDYWINE,0.0,41A001900,PUD,,,,,,
126,867,434100,985,PT LOT 11 BK B MEADOWBROOK HGT,0.0,41A051000,R-1,,,,,,
127,875,801100,993,LOT A BK B MEADOWBROOK HGTS,0.0,41A063000,R-1,,,,,,
128,876,246300,994,LOT 2 BK 3 BRANDYWINE,0.0,41A001101,PUD,,,,,,
129,883,439800,1001,LOT A BK D MEADOWBROOK HEIGHTS,0.0,41A087000,R-1,,,,,,
130,885,647100,1004,PT LOT 3 BK A MEADOWBROOK HGTS,0.0,41A049000,R-1,,,,,,
131,886,669500,1005,LOT 3 BK D MEADOWBROOK HEIGHTS,0.0,41A069000,R-1,,,,,,
132,900,329900,1019,LOT 12A BK B MEADOWBROOK HGTS,0.0,41A050000,R-1,,,,,,
133,903,453200,1024,LOT 8 BK D MEADOWBROOK HGTS,0.0,41A088000,R-1,,,,,,
134,905,516300,1026,PT LOTS 2&3 BK B MEADOWBROOK,0.0,41A064000,R-1,,,,,,
135,924,508000,1045,PT LOT 2 BK D MEADOWBROOK HGTS,0.0,41A068000,R-1,,,,,,
136,926,525900,1047,LOT 12B BK B MEADOWBROOK HGTS,0.0,41A050100,R-1,,,,,,
137,942,450300,1063,PT LOTS 1&2 BK B MEADOWBROOK,0.0,41A065000,R-1,,,,,,
138,944,444300,1065,PT LOT 2 BK D MEADOWBROOK HGTS,0.0,41A067000,R-1,,,,,,
139,949,383900,1070,LOT 9A BK D MEADOWBROOK HGTS,0.0,41A089000,R-1,,,,,,
140,961,673000,1085,LOT 1 BK D MEADOWBROOK HGTS,0.0,41A066000,R-1,,,,,,
141,968,396300,1092,LOT 9B BK D MEADOWBROOK HGTS,0.0,41A090000,R-1,,,,,,
142,984,637500,1110,LOT 3 MEADOWBROOK HEIGHTS,50703.84,410067000,R-1,,,,,,
143,985,273800,1113,LOT 10 BK D MEADOWBROOK HGTS,0.0,41A091000,R-1,,,,,,
144,1000,783200,1130,PT LOT B BK B MEADOWBROOK HGTS,39639.6,410061000,R-1,,,,,,
145,1015,5200,1151,PT LOT B BK B MEADOWBROOK HGTS,12719.52,410060000,R-1,,,,,,
146,1034,524700,1175,LOT A BK B MEADOWBROOK HEIGHTS,24437.16,410062000,R-1,,,,,,
147,1039,361400,1180,LOT 4 & PT 4A BK C MEADOWBROOK,0.0,41A092000,R-1,,,,,,
148,1046,612900,1188,LOT 28 MEADOWBROOK HILLS,59459.4,410026000,R-1,,,,,,
149,1053,374900,1199,LOT 5 BK C MEADOWBOOK HEIGHTS,0.0,41A093000,R-1,,,,,,
150,1056,652800,1202,LOT 27B MEADOWBROOK HILLS,26789.4,410025100,R-1,,,,,,
151,1068,113900,1215,PT LOT 4 MEADOWBROOK HILLS,9104.04,410059000,R-1,,,,,,
152,1072,514900,1220,LOT 27-A MEADOWBROOK HILLS,27660.6,410025000,R-1,,,,,,
153,1082,911500,1236,LOT 26 SEC 7 MEADOWBROOK HILLS,43734.24,410024000,R-1,,,,,,
154,1085,412400,1240,"LOTS 3,3A&3B MEADOWBROOK HILLS",14287.68,410058000,R-1,,,,,,
155,1111,544500,1270,LOT 29A MEADOWBROOK HILLS,28183.32,410027100,R-1,,,,,,
156,12096,595800,1272,"LOTS 2,2A&2B MEADOWBROOK HILLS",16160.76,410057000,R-1,,,,,,
157,1130,566100,1290,LOTS 29B & C MEADOWBROOK HILLS,37897.2,410027000,R-1,,,,,,
158,12095,496500,1297,LOT 1 MEADOWBROOK HILLS,13285.8,410056000,R-1,,,,,,
159,1153,627800,1316,LOT B MEADOWBROOK HILLS,18208.08,410028200,R-1,,,,,,
160,12097,684100,1328,LOTS 33B&B MEADOWBROOK HILLS,14505.48,410055000,R-1,,,,,,
161,1176,1172900,1347,LOT 31 MEADOWBROOK HILLS,76230.0,410030000,R-1,,,,,,
162,12098,602400,1352,LOT 33A& PARX MEADOWBROOK HILL,42863.04,410054000,R-1,,,,,,
163,12099,838600,1371,LOT B MEADOWBROOK HILLS,19514.88,410053200,R-1,,,,,,
164,1203,574700,1383,LOT A MEADOWBROOK HILLS,19950.48,410053000,R-1,,,,,,
165,12101,720000,1387,LOTS A&B MEADOWBROOK HILLS,38115.0,410053100,R-1,,,,,,
166,1208,676900,1390,LOT 35B1 MEADOWBROOK,29490.12,410052000,R-1,,,,,,
167,1220,560500,1402,PT LOT MEADOWBROOK HILLS,19471.32,410045000,R-1,,,,,,
168,1230,263100,1413,LOT 35B2&PT 1 MEADOWBROOK HILL,11412.72,410051000,R-1,,,,,,
169,1240,375200,1421,LOT 5 MEADOWBROOK HILLS,13547.16,410047000,R-1,,,,,,
170,1239,348800,1422,LOT 4 MEADOWBROOK HILLS,13329.36,410048000,R-1,,,,,,
171,1237,241300,1425,PT LOT 3 MEADOWBROOK HILLS,11499.84,410049000,R-1,,,,,,
172,1238,282500,1426,PT LOT 2 MEADOWBROOK HILLS,11761.2,410050000,R-1,,,,,,
173,1241,430300,1430,LOT & LOT 6 MEADOWBROOK HILLS,16378.56,410046000,R-1,,,,,,
174,13534,15283400,59,BLOCK G & PAR X  SEMINOLE SQ,697656.96,41C003000,HW,1567.0,Industrial Light Manufacturing,1983.0,138559.0,24.0,1.0
175,12205,12150600,112,"BK C,D-1&G-1 SEMINOLE SQUARE",762604.92,41C003100,HW,1571.0,Neighborhood Shopping Ctr.,1986.0,107520.0,12.0,1.0
176,134,420100,175,LOT 11 BK B GREENBRIER HGTS,13285.8,41D101000,R-1,,,,,,
177,135,426000,176,LOT 1 BK B SEC 1 GREENBRIER HG,15289.56,41D091000,R-1,,,,,,
178,143,443500,185,LOT 5 BK B SEC 1 GREENBRIER HG,14418.36,41D095000,R-1,,,,,,
179,148,363700,190,LOT 13 BK B SE 3 GREENBRIER HG,19689.12,41D103000,R-1,,,,,,
180,149,396300,191,LOT 10 BK B SE 1 GREENBRIER HG,15333.12,41D100000,R-1,,,,,,
181,159,371900,201,LOT 6 BK B SEC 1 GREENBRIER HG,12719.52,41D096000,R-1,,,,,,
182,163,361300,205,LOT 5 BK A SEC 1 GREENBRIER HG,15812.28,41D090000,R-1,,,,,,
183,167,376800,209,LOT 14 BK B SE 3 GREENBRIER HG,16814.16,41D104000,R-1,,,,,,
184,12607,427900,213,LOT 9 BK B SEC 1 GREENBRIER HG,18730.8,41D099000,R-1,,,,,,
185,174,403300,217,LOT 7 BK B SEC 1 GREENBRIER HG,16117.2,41D097000,R-1,,,,,,
186,12606,392500,220,LOT 8 BK B SEC 1 GREENBRIER HG,22999.68,41D098000,R-1,,,,,,
187,178,355700,223,LOT 4 BK A SEC 1 GREENBRIER HG,15289.56,41D089000,R-1,,,,,,
188,184,357200,230,LOT 5 BK 1 SEC 1 GREENBRIER,0.0,41D076000,R-1,,,,,,
189,185,478100,233,LOT 4 BK 1 SEC 1 GREENBRIER,0.0,41D077000,R-1,,,,,,
190,188,351000,236,LOT 15 BK B SE 3 GREENBRIER HG,18861.48,41D105000,R-1,,,,,,
191,193,411000,239,LOT 1&PAR Y BK 1 GREENBRIER,0.0,41D080000,R-1,,,,,,
192,192,611400,243,LOT 3 BK 1 SEC 1 GREENBRIER,0.0,41D078000,R-1,,,,,,
193,198,485400,249,LOTS 12B&13 BK J SE 6 RUTLEDGE,0.0,41D074000,R-1,,,,,,
194,201,407300,252,LOT 2 BK 1 SEC 1 GREENBRIER,0.0,41D079000,R-1,,,,,,
195,202,348700,253,LOT 3 BK A SEC 1 GREENBRIER HG,15768.72,41D088000,R-1,,,,,,
196,12605,368700,261,LOT 16 BK B SE 3 GREENBRIER HG,23261.04,41D106000,R-1,,,,,,
197,217,375700,271,LOT 2 BK A GREENBRIER HGTS,16509.24,41D087000,R-1,,,,,,
198,223,503400,278,LOTS 29A&30 BK I SE 6 RUTLEDGE,0.0,41D035000,R-1,,,,,,
199,226,526500,281,LOTS 11&12A BK J SE 6 RUTLEDGE,0.0,41D073000,R-1,,,,,,
200,227,476100,282,LOTS 28&29A BK I RUTLEDGE,0.0,41D036000,R-1,,,,,,
201,13537,516700,283,LOT 2&PAR X&ZBK 2 GREENBRIER,0.0,41D082000,R-1,,,,,,
202,235,353500,291,LOT 1 BK A SEC 1 GREENBRIER HG,17990.28,41D086000,R-1,,,,,,
203,241,447800,297,LOT 1 BK M SEC 6 RUTLEDGE,0.0,41D064000,R-1,,,,,,
204,246,352100,302,LOT 1 BK 2 SEC 1 GREENBRIER,0.0,41D083000,R-1,,,,,,
205,247,386000,304,LOT 10 BK J SEC 6 RUTLEDGE,0.0,41D072000,R-1,,,,,,
206,255,363000,312,LOT 31 BK I SEC 6 RUTLEDGE,0.0,41D034000,R-1,,,,,,
207,260,323300,317,LOT 9 BK J SEC 6 RUTLEDGE,0.0,41D071000,R-1,,,,,,
208,263,479100,321,LOT 27 BK I SEC 7 RUTLEDGE,0.0,41D037000,R-1,,,,,,
209,266,401200,324,LOT 2 BK M SEC 6 RUTLEDGE,0.0,41D065000,R-1,,,,,,
210,269,349300,327,LOT 9 BK M SEC 7 RUTLEDGE,0.0,41D063000,R-1,,,,,,
211,274,486300,333,LOT 32 BK I SEC 6 RUTLEDGE,0.0,41D033000,R-1,,,,,,
212,277,415900,336,LOT 6 BK 3 SEC 1 GREENBRIER,0.0,41D084000,R-1,,,,,,
213,278,398600,337,LOT 8 BK J SEC 6 RUTLEDGE,0.0,41D070000,R-1,,,,,,
214,283,5492600,342,BLOCK D-2 SEMINOLE SQUARE,232044.12,41B015000,HW,1558.0,Supermarket,1986.0,52700.0,24.0,1.0
215,286,604300,345,LOT 26 BK I SEC 7 RUTLEDGE,0.0,41D038000,R-1,,,,,,
216,292,461100,351,LOTS 14&14A B K S 6&7 RUTLEDGE,0.0,41D057000,R-1,,,,,,
217,293,574500,352,LOTS 3&3A BK M SE 6&7 RUTLEDGE,0.0,41D066000,R-1,,,,,,
218,294,409300,353,"LOT 8,PAR X BK M SE 7 RUTLEDGE",0.0,41D062000,R-1,,,,,,
219,297,418700,357,LOT 7 BK J SEC 4 RUTLEDGE,0.0,41D069000,R-1,,,,,,
220,311,397400,371,LOT 12 BK K SEC 7 RUTLEDGE,0.0,41D054000,R-1,,,,,,
221,312,347900,372,LOT 11 BK K SEC 7 RUTLEDGE,0.0,41D053000,R-1,,,,,,
222,317,430800,378,LOT 34 BK I SEC 6 RUTLEDGE,0.0,41D031000,R-1,,,,,,
223,320,499000,381,LOT 25 BK I SEC 7 RUTLEDGE,0.0,41D039000,R-1,,,,,,
224,328,374500,389,LOT 7A BK M SEC 7 RUTLEDGE,0.0,41D061000,R-1,,,,,,
225,330,104800,391,LOT 4A BK M SEC 7 RUTLEDGE,0.0,41D058000,R-1,,,,,,
226,322,530100,394,LOT 15A BK K SEC 7 RUTLEDGE,0.0,41D056000,R-1,,,,,,
227,333,626100,395,LOT 6 BK J SEC 4 RUTLEDGE,0.0,41D068000,R-1,,,,,,
228,335,414600,397,LOT 5A BK M SEC 7 RUTLEDGE,0.0,41D059000,R-1,,,,,,
229,337,373600,399,LOT 10 BK I SEC 3 RUTLEDGE,0.0,41D030000,R-1,,,,,,
230,295,409900,401,LOT 33 & AREA X BK I SEC 6&7,0.0,41D032000,R-1,,,,,,
231,339,440700,403,LOT 10 BK K SEC 7 RUTLEDGE,0.0,42B028000,R-1,,,,,,
232,343,427700,407,LOT 6A BK M SEC 7 RUTLEDGE,0.0,41D060000,R-1,,,,,,
233,353,392900,416,LOT 24 BK I SEC 7 RUTLEDGE,0.0,41D040000,R-1,,,,,,
234,356,388000,419,LOT 9 BK I SEC 3 RUTLEDGE,0.0,41D029000,R-1,,,,,,
235,364,455300,428,LOT 9 BK K SEC 7 RUTLEDGE,0.0,42B029000,R-1,,,,,,
236,365,466000,429,LOT 8 BK I SEC 3 RUTLEDGE,0.0,41D028000,R-1,,,,,,
237,377,516000,443,LOTS 23&X1 BK I SEC 7 RUTLEDGE,0.0,41D042000,R-1,,,,,,
238,381,402600,447,LOT 7 BK I SEC 3 RUTLEDGE,0.0,41D027000,R-1,,,,,,
239,387,368300,453,LOT 11 BK H SEC 3 RUTLEDGE,0.0,41D011000,R-1,,,,,,
240,394,458300,461,LOT 5 BK J SEC 4 RUTLEDGE,0.0,41D067000,R-1,,,,,,
241,395,366400,462,LOT 6 BK I SEC 3 RUTLEDGE,0.0,41D026000,R-1,,,,,,
242,398,516200,465,LOTS 18&19B BK I SE 7 RUTLEDGE,0.0,41D047000,R-1,,,,,,
243,399,419100,466,LOT 17 BK I SEC 7 RUTLEDGE,0.0,41D048000,R-1,,,,,,
244,401,546700,468,LOTS 22&21B BK I SE 7 RUTLEDGE,0.0,41D043000,R-1,,,,,,
245,402,483400,469,LOT 8 BK K SEC 5 RUTLEDGE,0.0,42B030000,R-1,,,,,,
246,404,636400,471,LOT 19A BK I SEC 7 RUTLEDGE,0.0,41D046000,R-1,,,,,,
247,406,357700,473,LOT 12 BK H SEC 3 RUTLEDGE,0.0,41D012000,R-1,,,,,,
248,411,554100,478,LOTS 20&21A BK I RUTLEDGE,0.0,41D045000,R-1,,,,,,
249,412,581300,480,LOTS 16 & 16B BK I RUTLEDGE,0.0,42B027000,R-1,,,,,,
250,414,371000,482,LOT 5 BK I SEC 3 RUTLEDGE,0.0,41D025000,R-1,,,,,,
251,417,387900,486,LOT 10 BK H SEC 3 RUTLEDGE,0.0,41D010000,R-1,,,,,,
252,420,383000,489,LOT 13 BK H SEC 3 RUTLEDGE,0.0,41D013000,R-1,,,,,,
253,12604,11119000,492,PARCEL A PEYTON PROPERTY,0.0,41B005000,R-3,1542.0,Apartments over 20 units,1975.0,,,
254,426,4496500,497,BLOCK F SEMINOLE SQUARE,81413.64,41B014000,HW,1557.0,Office Building,1994.0,23070.0,12.0,3.0
255,428,334800,499,LOT 15&PAR Y BK K S 5 RUTLEDGE,0.0,42B041000,R-1,,,,,,
256,429,467700,501,LOT 4 BK I SEC 3 RUTLEDGE,0.0,41D024000,R-1,,,,,,
257,432,418500,505,LOT 15 BK I SEC 5 RUTLEDGE,0.0,42B026000,R-1,,,,,,
258,435,467000,509,LOT 9 BK H SEC 3 RUTLEDGE,0.0,41D009000,R-1,,,,,,
259,438,509800,513,LOT 14 BK I SEC 5 RUTLEDGE,0.0,41D049000,R-1,,,,,,
260,440,470000,515,LOT 14 BK H SEC 3 RUTLEDGE,0.0,41D014000,R-1,,,,,,
261,444,420100,519,LOT 13 BK I SEC 5 RUTLEDGE,0.0,41D050000,R-1,,,,,,
262,445,378100,520,LOT 7 BK K SEC 5 RUTLEDGE,0.0,42B031000,R-1,,,,,,
